,query_id,client_email,query_heading,query_description,status,date_raised,date_closed
43,Q0044,mcdonaldchelsea@example.net,Data Export,Exported PDF looks blank.,Closed,26-05-2025,12-06-2025
44,Q0045,bryantsydney@example.com,UI Feedback,Filter section takes too much space.,Closed,06-04-2025,08-04-2025
45,Q0046,turnerjerome@example.com,Feature Request,Need in-app video tutorials.,Closed,10-04-2025,11-04-2025
46,Q0047,hobbsbrian@example.com,UI Feedback,Color scheme hard to read in sunlight.,Closed,22-02-2025,27-02-2025
47,Q0048,ogordon@example.net,Account Suspension,Got a warning mail I don’t understand.,Closed,09-04-2025,14-04-2025
48,Q0049,lori61@example.org,Technical Support,White screen on startup.,Closed,13-02-2025,21-02-2025
49,Q0050,alexandriajohnson@example.org,Login Issue,Forgot my password and reset isn’t working.,Closed,17-02-2025,02-03-2025
50,Q0051,oburns@example.net,Subscription Cancellation,Auto-renew not turned off.,Closed,12-04-2025,19-04-2025
51,Q0052,nmartinez@example.org,UI Feedback,Color scheme hard to read in sunlight.,Closed,24-07-2025,08-08-2025
52,Q0053,fieldsgeorge@example.org,Technical Support,Settings not saving properly.,Closed,11-02-2025,17-02-2025
53,Q0054,frangel@example.com,Bug Report,Tab focus jumps incorrectly.,Closed,17-03-2025,23-03-2025
54,Q0055,alexis63@example.net,Data Export,Time range in export is incorrect.,Closed,14-07-2025,17-07-2025
55,Q0056,mckenziemichael@example.org,Subscription Cancellation,Received cancellation email but charged again.,Closed,15-03-2025,18-03-2025
56,Q0057,jenkinsdavid@example.net,Billing Problem,Duplicate transaction found.,Closed,29-04-2025,10-05-2025
57,Q0058,bmayo@example.net,Subscription Cancellation,App locked after cancellation.,Closed,19-06-2025,20-06-2025
58,Q0059,wangjames@example.net,Bug Report,Color scheme inconsistent.,Closed,08-02-2025,10-02-2025
59,Q0060,mkelly@example.net,Subscription Cancellation,Still charged after cancellation.,Closed,02-04-2025,12-04-2025
60,Q0061,morgandennis@example.org,Billing Problem,Incorrect tax calculations.,Closed,16-02-2025,20-02-2025
61,Q0062,jamesjose@example.com,Bug Report,Color scheme inconsistent.,Closed,27-05-2025,01-06-2025
62,Q0063,barnesbrian@example.com,Technical Support,Can’t sync data across devices.,Closed,23-04-2025,28-04-2025
63,Q0064,barbaraturner@example.org,Technical Support,Notifications are not working.,Closed,05-04-2025,09-04-2025
64,Q0065,gibsonsandra@example.com,Subscription Cancellation,Need proof of cancellation for records.,Closed,10-05-2025,18-05-2025
65,Q0066,jamessmith@example.net,Subscription Cancellation,Was offered discount after cancel — still charged full.,Closed,25-02-2025,03-03-2025
66,Q0067,robertscott@example.com,UI Feedback,Buttons overlap on smaller screens.,Closed,22-02-2025,01-03-2025
67,Q0068,anitasimpson@example.com,Technical Support,Download button is inactive.,Closed,21-07-2025,29-07-2025
68,Q0069,marvinsalazar@example.org,Subscription Cancellation,Cannot downgrade before cancel.,Closed,13-02-2025,16-02-2025
69,Q0070,bookerphilip@example.net,UI Feedback,Dark mode missing in login.,Closed,03-06-2025,07-06-2025
70,Q0071,amber72@example.org,Data Export,Need monthly data dump in CSV.,Closed,08-06-2025,22-06-2025
71,Q0072,sclark@example.net,Login Issue,Captcha keeps looping during login.,Closed,02-05-2025,05-05-2025
72,Q0073,robert66@example.net,Billing Problem,Billing cycle was reset unexpectedly.,Closed,12-07-2025,14-07-2025
73,Q0074,mirandahernandez@example.com,Data Export,Can’t schedule data export.,Closed,05-03-2025,06-03-2025
74,Q0075,erinmason@example.net,Feature Request,Can you include language translation?,Closed,12-05-2025,18-05-2025
75,Q0076,dakotamorris@example.net,UI Feedback,Filter section takes too much space.,Closed,09-06-2025,11-06-2025
76,Q0077,kevinharvey@example.com,Technical Support,Can’t install latest update.,Closed,07-05-2025,09-05-2025
77,Q0078,jacksonbarry@example.net,Login Issue,Account seems to be disabled.,Closed,19-05-2025,29-05-2025
78,Q0079,crystal87@example.net,Billing Problem,Refund not credited after 7 days.,Closed,01-02-2025,06-02-2025
79,Q0080,stephenswilliam@example.org,Login Issue,Seeing 'invalid session token' error.,Closed,03-02-2025,05-02-2025
80,Q0081,brandonpugh@example.org,Billing Problem,Charged extra on my last invoice.,Closed,25-02-2025,06-03-2025
81,Q0082,myerstina@example.org,Payment Failure,Payment shows success but app locked.,Closed,18-04-2025,24-04-2025
82,Q0083,reedrebecca@example.net,Account Suspension,Can I restore my data after suspension?,Closed,25-07-2025,27-07-2025
83,Q0084,moorevictoria@example.net,Feature Request,Add AI auto-suggestions for forms.,Closed,21-07-2025,22-07-2025
84,Q0085,angelamora@example.net,Data Export,Data export not matching preview.,Closed,25-04-2025,27-04-2025
85,Q0086,dwayne81@example.com,UI Feedback,Filter section takes too much space.,Closed,21-07-2025,31-07-2025
86,Q0087,nwall@example.net,Login Issue,Forgot my password and reset isn’t working.,Closed,31-01-2025,09-02-2025
87,Q0088,matthewcurry@example.com,Data Export,Can’t schedule data export.,Closed,07-05-2025,11-05-2025
88,Q0089,martinchristopher@example.com,Bug Report,Chart not updating after data refresh.,Closed,19-03-2025,02-04-2025
89,Q0090,hbaker@example.net,Login Issue,Error 401 appearing on login.,Closed,23-04-2025,28-04-2025
90,Q0091,ujohnson@example.net,Technical Support,Slow performance during peak hours.,Closed,16-04-2025,19-04-2025
91,Q0092,bethanysimmons@example.org,Data Export,Zip file corrupted during export.,Closed,21-02-2025,24-02-2025
92,Q0093,fgates@example.org,Technical Support,Can’t install latest update.,Closed,31-05-2025,13-06-2025
93,Q0094,jasminewashington@example.com,Data Export,Export email not received.,Closed,16-04-2025,25-04-2025
94,Q0095,campbellalan@example.com,Billing Problem,Incorrect tax calculations.,Closed,29-01-2025,01-02-2025
95,Q0096,michellejones@example.org,Subscription Cancellation,Received cancellation email but charged again.,Closed,06-06-2025,07-06-2025
96,Q0097,vjohnson@example.org,Feature Request,Need in-app video tutorials.,Closed,04-02-2025,10-02-2025
97,Q0098,robinsonjacqueline@example.net,Technical Support,Notifications are not working.,Closed,11-06-2025,14-06-2025
98,Q0099,amanda58@example.com,Data Export,Exported PDF looks blank.,Closed,09-07-2025,21-07-2025
99,Q0100,turnerricardo@example.org,Data Export,Time range in export is incorrect.,Closed,12-02-2025,25-02-2025
100,Q0101,ymendoza@example.com,Payment Failure,Bank transaction shows pending.,Closed,24-04-2025,03-05-2025
101,Q0102,nicholas05@example.org,Technical Support,Getting JSON decode error.,Closed,01-04-2025,02-04-2025
102,Q0103,jenniferroberts@example.com,Login Issue,Unable to login with correct credentials.,Closed,19-04-2025,21-04-2025
103,Q0104,dfuller@example.com,Technical Support,White screen on startup.,Closed,02-05-2025,07-05-2025
104,Q0105,eellis@example.org,Subscription Cancellation,Was offered discount after cancel — still charged full.,Closed,10-04-2025,11-04-2025
105,Q0106,oclarke@example.net,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,23-02-2025,10-03-2025
106,Q0107,bryanhudson@example.com,Feature Request,Would like push notifications for updates.,Closed,21-06-2025,22-06-2025
107,Q0108,jacksonashley@example.org,Subscription Cancellation,Received cancellation email but charged again.,Closed,25-03-2025,26-03-2025
108,Q0109,lauranorris@example.net,Billing Problem,Bill shows usage I didn’t make.,Closed,06-02-2025,21-02-2025
109,Q0110,hayskyle@example.com,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,17-05-2025,26-05-2025
110,Q0111,johnmcdowell@example.com,Login Issue,Login working on browser but not app.,Closed,09-05-2025,23-05-2025
111,Q0112,jaredbriggs@example.com,Bug Report,Chart not updating after data refresh.,Closed,04-06-2025,13-06-2025
112,Q0113,renee63@example.com,Bug Report,Reports section not opening.,Closed,10-03-2025,14-03-2025
113,Q0114,hayestraci@example.com,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,07-04-2025,10-04-2025
114,Q0115,wsalazar@example.com,Login Issue,Session expires immediately after login.,Closed,24-07-2025,26-07-2025
115,Q0116,brooke41@example.com,Login Issue,Seeing 'invalid session token' error.,Closed,18-02-2025,19-02-2025
116,Q0117,codycalhoun@example.org,Feature Request,Multi-user role system would help.,Closed,21-02-2025,23-02-2025
117,Q0118,virginia04@example.com,Subscription Cancellation,Received cancellation email but charged again.,Closed,25-07-2025,01-08-2025
118,Q0119,juliegriffin@example.com,Bug Report,Date selector not responsive.,Closed,29-06-2025,04-07-2025
119,Q0120,cynthiamathews@example.org,Payment Failure,Payment gateway not redirecting.,Closed,03-03-2025,05-03-2025
120,Q0121,sbaxter@example.org,Feature Request,Ability to bulk edit entries needed.,Closed,24-05-2025,25-05-2025
121,Q0122,warrensusan@example.com,Payment Failure,Need confirmation after retry.,Closed,02-05-2025,14-05-2025
122,Q0123,mossdavid@example.org,UI Feedback,Mobile responsiveness needs improvement.,Closed,26-06-2025,04-07-2025
123,Q0124,smithmegan@example.net,Login Issue,Cannot log in on mobile app.,Closed,29-01-2025,07-02-2025
124,Q0125,carpenterelizabeth@example.net,UI Feedback,Font inconsistent across pages.,Closed,25-04-2025,26-04-2025
125,Q0126,dfisher@example.net,Login Issue,Login working on browser but not app.,Closed,01-06-2025,03-06-2025
126,Q0127,flemingbrandon@example.org,Bug Report,Blank screen after form submission.,Closed,02-05-2025,18-05-2025
127,Q0128,smatthews@example.org,Account Suspension,Can’t access services due to ban.,Closed,24-06-2025,25-06-2025
128,Q0129,edwin98@example.net,UI Feedback,Graphs too compressed on mobile view.,Closed,27-03-2025,04-04-2025
129,Q0130,amanda10@example.com,Account Suspension,Support says I’m blacklisted — why?,Closed,11-04-2025,13-04-2025
130,Q0131,lwagner@example.net,Data Export,Can’t schedule data export.,Closed,01-05-2025,02-05-2025
131,Q0132,bernardrobinson@example.org,Bug Report,Sidebar collapses on scroll.,Closed,27-05-2025,28-05-2025
132,Q0133,heather85@example.net,Bug Report,Date selector not responsive.,Closed,17-05-2025,22-05-2025
133,Q0134,smithnicole@example.com,Data Export,Auto-export not working on Fridays.,Closed,27-03-2025,03-04-2025
134,Q0135,pagenicholas@example.net,Technical Support,Download button is inactive.,Closed,07-07-2025,10-07-2025
135,Q0136,savagemelissa@example.org,Data Export,Need export in regional time zone.,Closed,17-02-2025,19-02-2025
136,Q0137,srodriguez@example.com,Billing Problem,Amount charged doesn’t match pricing plan.,Closed,23-02-2025,27-02-2025
137,Q0138,annkeller@example.com,Login Issue,Forgot my password and reset isn’t working.,Closed,27-05-2025,01-06-2025
138,Q0139,chelsey42@example.net,Subscription Cancellation,Cancelled but dashboard shows active.,Closed,02-02-2025,09-02-2025
139,Q0140,jennifer89@example.org,Technical Support,App crashes after update.,Closed,30-01-2025,03-02-2025
140,Q0141,andrewgarrison@example.com,Billing Problem,Late fee charged wrongly.,Closed,05-04-2025,09-04-2025
141,Q0142,timothyjimenez@example.org,UI Feedback,Sidebar hides important links.,Closed,20-02-2025,05-03-2025
142,Q0143,hponce@example.com,Subscription Cancellation,Need proof of cancellation for records.,Closed,28-06-2025,09-07-2025
143,Q0144,ynash@example.com,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,08-04-2025,15-04-2025
144,Q0145,murraymichael@example.net,Login Issue,Cannot log in on mobile app.,Closed,27-07-2025,28-07-2025
145,Q0146,qjackson@example.com,Account Suspension,Received policy violation but unclear why.,Closed,09-03-2025,10-03-2025
146,Q0147,luis48@example.org,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,23-03-2025,26-03-2025
147,Q0148,sharon35@example.org,Payment Failure,Need confirmation after retry.,Closed,21-04-2025,06-05-2025
148,Q0149,angela94@example.net,Data Export,Export email not received.,Closed,15-06-2025,26-06-2025
149,Q0150,mitchellspencer@example.net,Technical Support,Freezing during screen load.,Closed,26-03-2025,07-04-2025
150,Q0151,ynoble@example.net,Subscription Cancellation,Need proof of cancellation for records.,Closed,18-06-2025,19-06-2025
151,Q0152,jonathan21@example.org,Account Suspension,Can I restore my data after suspension?,Closed,29-05-2025,30-05-2025
152,Q0153,susanmartinez@example.com,Payment Failure,Payment failed due to card error.,Closed,20-04-2025,04-05-2025
153,Q0154,jesseallen@example.org,Subscription Cancellation,Accidentally cancelled wrong plan.,Closed,25-04-2025,27-04-2025
154,Q0155,elizabeth41@example.org,Login Issue,Redirect loop after logging in.,Closed,07-03-2025,09-03-2025
155,Q0156,megan12@example.com,Payment Failure,Payment failed due to card error.,Closed,22-06-2025,30-06-2025
156,Q0157,evillegas@example.com,Billing Problem,Refund not credited after 7 days.,Closed,21-05-2025,23-05-2025
157,Q0158,mcollins@example.org,Login Issue,Seeing 'invalid session token' error.,Closed,11-05-2025,13-05-2025
158,Q0159,wgoodwin@example.net,Login Issue,Redirect loop after logging in.,Closed,29-01-2025,01-02-2025
159,Q0160,ojackson@example.org,Feature Request,Suggesting calendar integration.,Closed,15-06-2025,17-06-2025
160,Q0161,ashley76@example.net,Feature Request,Can you include language translation?,Closed,18-04-2025,19-04-2025
161,Q0162,hward@example.com,UI Feedback,Text is too small on mobile.,Closed,19-04-2025,29-04-2025
162,Q0163,erincurtis@example.net,UI Feedback,Buttons overlap on smaller screens.,Closed,06-07-2025,23-07-2025
163,Q0164,tabitha87@example.com,Payment Failure,Need GST invoice after payment.,Closed,20-07-2025,22-07-2025
164,Q0165,tjenkins@example.org,UI Feedback,Error messages not clear enough.,Closed,18-06-2025,22-06-2025
165,Q0166,deborah91@example.net,Bug Report,Filter not retaining after refresh.,Closed,01-03-2025,06-03-2025
166,Q0167,rickey61@example.com,Login Issue,Unable to login with correct credentials.,Closed,16-04-2025,24-04-2025
167,Q0168,jbradley@example.org,Subscription Cancellation,Need proof of cancellation for records.,Closed,30-05-2025,01-06-2025
168,Q0169,nancy39@example.net,Account Suspension,Terms of use were unclear.,Opened,15-03-2025,
169,Q0170,igraves@example.net,Billing Problem,Promo code was not applied.,Closed,21-02-2025,08-03-2025
170,Q0171,iburnett@example.net,Payment Failure,Payment success mail delayed.,Closed,23-07-2025,29-07-2025
171,Q0172,suzanneyates@example.org,Bug Report,Page crashes on click of ‘submit’.,Closed,04-03-2025,06-03-2025
172,Q0173,emiller@example.com,Feature Request,Request feature to duplicate projects.,Closed,14-02-2025,15-02-2025
173,Q0174,omarquez@example.org,Technical Support,Can’t sync data across devices.,Closed,11-04-2025,13-04-2025
174,Q0175,stephen40@example.net,Login Issue,Account seems to be disabled.,Closed,09-06-2025,17-06-2025
175,Q0176,jessicawoods@example.org,Billing Problem,Invoice PDF is missing this month.,Closed,04-06-2025,05-06-2025
176,Q0177,mrivas@example.org,Feature Request,Save filter views for reuse.,Closed,10-04-2025,15-04-2025
177,Q0178,johndixon@example.org,Login Issue,Seeing 'invalid session token' error.,Closed,25-03-2025,26-03-2025
178,Q0179,norrisandrew@example.net,Subscription Cancellation,Cannot downgrade before cancel.,Closed,19-05-2025,21-05-2025
179,Q0180,charlesgarcia@example.org,Data Export,Need export in regional time zone.,Closed,06-04-2025,21-04-2025
180,Q0181,vjenkins@example.net,Feature Request,Provide more chart types in dashboard.,Closed,14-02-2025,17-02-2025
181,Q0182,dgay@example.com,Feature Request,Add folder structure to organize data.,Closed,28-05-2025,03-06-2025
182,Q0183,jamesmccoy@example.org,Account Suspension,Received policy violation but unclear why.,Closed,13-02-2025,17-02-2025
183,Q0184,david08@example.com,UI Feedback,Mobile responsiveness needs improvement.,Closed,10-06-2025,13-06-2025
184,Q0185,gmiller@example.com,Billing Problem,Amount charged doesn’t match pricing plan.,Closed,26-04-2025,27-04-2025
185,Q0186,nathan10@example.net,Subscription Cancellation,App locked after cancellation.,Closed,22-02-2025,24-02-2025
186,Q0187,katherinestrickland@example.com,Bug Report,Reports section not opening.,Closed,02-02-2025,08-02-2025
187,Q0188,fharding@example.org,UI Feedback,Dropdowns too close together.,Closed,01-05-2025,04-05-2025
188,Q0189,irichards@example.net,UI Feedback,Color scheme hard to read in sunlight.,Closed,24-05-2025,05-06-2025
189,Q0190,james29@example.org,Data Export,Need export in regional time zone.,Closed,10-05-2025,11-05-2025
190,Q0191,michellesimmons@example.org,Billing Problem,Charged extra on my last invoice.,Closed,16-05-2025,26-05-2025
191,Q0192,jenkinsaustin@example.net,Billing Problem,Duplicate transaction found.,Closed,25-07-2025,31-07-2025
192,Q0193,brittney39@example.com,Account Suspension,Appeal submitted but no response yet.,Closed,16-07-2025,19-07-2025
193,Q0194,karen99@example.org,UI Feedback,Error messages not clear enough.,Closed,22-07-2025,29-07-2025
194,Q0195,grayamanda@example.org,Subscription Cancellation,Wrong account cancelled.,Closed,28-05-2025,29-05-2025
195,Q0196,martinkrista@example.com,Payment Failure,Payment shows success but app locked.,Closed,10-03-2025,11-03-2025
196,Q0197,nancy37@example.org,Login Issue,Session expires immediately after login.,Closed,29-03-2025,31-03-2025
197,Q0198,audreyguerra@example.com,Payment Failure,Payment success mail delayed.,Closed,25-06-2025,12-07-2025
198,Q0199,jasonboyd@example.net,Technical Support,Graphs not rendering properly.,Closed,02-03-2025,07-03-2025
199,Q0200,lawrencelori@example.com,Account Suspension,Suspension mail was too vague.,Closed,28-02-2025,07-03-2025
200,Q0201,cody52@example.net,Account Suspension,Received policy violation but unclear why.,Closed,11-02-2025,13-02-2025
201,Q0202,karen26@example.com,Billing Problem,Duplicate transaction found.,Closed,07-02-2025,13-02-2025
202,Q0203,jenniferbutler@example.org,Account Suspension,Suspension mail was too vague.,Closed,05-06-2025,07-06-2025
203,Q0204,tevans@example.org,UI Feedback,Graphs too compressed on mobile view.,Closed,19-02-2025,24-02-2025
204,Q0205,mcdowelllori@example.com,Technical Support,Freezing during screen load.,Closed,24-07-2025,25-07-2025
205,Q0206,janetrodriguez@example.net,Technical Support,Settings not saving properly.,Closed,11-07-2025,12-07-2025
206,Q0207,ortegaanthony@example.net,Feature Request,Ability to bulk edit entries needed.,Closed,03-06-2025,04-06-2025
207,Q0208,armstrongcarla@example.net,Billing Problem,Need clarification on currency charges.,Closed,08-05-2025,10-05-2025
208,Q0209,jasmineaguilar@example.org,Data Export,Export email not received.,Closed,09-05-2025,12-05-2025
209,Q0210,ocollins@example.org,Account Suspension,"Got auto-ban, never violated terms.",Closed,26-03-2025,08-04-2025
210,Q0211,emedina@example.com,Payment Failure,Need help with failed subscription payment.,Closed,28-03-2025,15-04-2025
211,Q0212,annaschroeder@example.org,Feature Request,Can we have auto-save for drafts?,Closed,27-05-2025,28-05-2025
212,Q0213,walkerjeffrey@example.net,Subscription Cancellation,Still charged after cancellation.,Closed,14-03-2025,17-03-2025
213,Q0214,mariah48@example.net,Login Issue,Captcha keeps looping during login.,Closed,10-06-2025,15-06-2025
214,Q0215,ggarrett@example.net,UI Feedback,Table headers not sticky.,Closed,05-06-2025,06-06-2025
215,Q0216,fredrivera@example.org,UI Feedback,Buttons overlap on smaller screens.,Closed,04-02-2025,07-02-2025
216,Q0217,jrichards@example.com,Technical Support,Settings not saving properly.,Closed,25-03-2025,01-04-2025
217,Q0218,qcarpenter@example.com,Bug Report,Sidebar collapses on scroll.,Closed,27-04-2025,28-04-2025
218,Q0219,christinegomez@example.com,Account Suspension,Need reason for my suspension.,Closed,13-05-2025,17-05-2025
219,Q0220,dbrown@example.org,UI Feedback,Error messages not clear enough.,Closed,12-05-2025,13-05-2025
220,Q0221,patriciahernandez@example.org,Account Suspension,Got a warning mail I don’t understand.,Closed,23-02-2025,27-02-2025
221,Q0222,uhorton@example.net,UI Feedback,Sidebar hides important links.,Closed,03-03-2025,05-03-2025
222,Q0223,wrodriguez@example.net,Billing Problem,Refund not credited after 7 days.,Closed,09-03-2025,10-03-2025
223,Q0224,lauren08@example.net,Account Suspension,Got a warning mail I don’t understand.,Closed,20-04-2025,25-04-2025
224,Q0225,cbeard@example.org,Bug Report,Back button doesn’t work.,Closed,15-05-2025,18-05-2025
225,Q0226,mjacobs@example.com,Account Suspension,Unjustified account suspension request.,Closed,15-07-2025,01-08-2025
226,Q0227,schroederjessica@example.com,Billing Problem,Refund not credited after 7 days.,Closed,29-05-2025,31-05-2025
227,Q0228,rdaniel@example.com,Bug Report,Form validation not working properly.,Closed,29-01-2025,04-02-2025
228,Q0229,swells@example.net,Account Suspension,Need reason for my suspension.,Closed,09-02-2025,14-02-2025
229,Q0230,mbaker@example.net,Billing Problem,Refund not credited after 7 days.,Closed,01-05-2025,07-05-2025
230,Q0231,garciapriscilla@example.org,Billing Problem,Billing cycle was reset unexpectedly.,Closed,27-05-2025,28-05-2025
231,Q0232,gvillarreal@example.net,Account Suspension,Account banned during payment process.,Closed,17-05-2025,21-05-2025
232,Q0233,flopez@example.net,Payment Failure,Charged twice for one payment.,Closed,01-04-2025,02-04-2025
233,Q0234,logandiane@example.net,Billing Problem,Invoice PDF is missing this month.,Closed,04-02-2025,06-02-2025
234,Q0235,kevinmyers@example.net,UI Feedback,Sidebar hides important links.,Closed,12-05-2025,13-05-2025
235,Q0236,elaine66@example.com,Account Suspension,Received policy violation but unclear why.,Closed,17-07-2025,27-07-2025
236,Q0237,michael21@example.com,Account Suspension,Received policy violation but unclear why.,Closed,01-04-2025,18-04-2025
237,Q0238,tracieblanchard@example.org,Data Export,Need export in regional time zone.,Closed,15-05-2025,30-05-2025
238,Q0239,ichaney@example.net,Feature Request,Please add support for dark mode.,Closed,29-01-2025,10-02-2025
239,Q0240,kingmelissa@example.org,UI Feedback,Icons not intuitive.,Closed,12-07-2025,22-07-2025
240,Q0241,fernandezbenjamin@example.net,UI Feedback,Font inconsistent across pages.,Closed,23-07-2025,30-07-2025
241,Q0242,hhowell@example.org,Bug Report,Blank screen after form submission.,Closed,20-05-2025,23-05-2025
242,Q0243,ortizapril@example.org,UI Feedback,Font inconsistent across pages.,Closed,21-06-2025,24-06-2025
243,Q0244,bakerjenna@example.com,Account Suspension,Support says I’m blacklisted — why?,Closed,20-05-2025,03-06-2025
244,Q0245,whitetodd@example.com,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,05-02-2025,09-02-2025
245,Q0246,qrichards@example.com,Bug Report,Sidebar collapses on scroll.,Closed,19-04-2025,27-04-2025
246,Q0247,crystal34@example.com,Subscription Cancellation,Received cancellation email but charged again.,Closed,03-02-2025,14-02-2025
247,Q0248,gina20@example.net,Technical Support,Live chat not launching.,Closed,13-02-2025,14-02-2025
248,Q0249,bruce27@example.net,UI Feedback,Color scheme hard to read in sunlight.,Closed,04-07-2025,13-07-2025
249,Q0250,adriana96@example.org,Login Issue,Captcha keeps looping during login.,Closed,08-05-2025,09-05-2025
250,Q0251,kristin83@example.org,Login Issue,Forgot my password and reset isn’t working.,Closed,16-05-2025,25-05-2025
251,Q0252,kellymooney@example.net,Feature Request,Need in-app video tutorials.,Closed,01-07-2025,18-07-2025
252,Q0253,robertparsons@example.net,Technical Support,Download button is inactive.,Closed,11-07-2025,16-07-2025
253,Q0254,douglashiggins@example.net,Data Export,Filters not applying in exported data.,Closed,03-02-2025,21-02-2025
254,Q0255,alan84@example.com,Subscription Cancellation,App locked after cancellation.,Closed,11-07-2025,12-07-2025
255,Q0256,kerrmelissa@example.net,Payment Failure,Need GST invoice after payment.,Closed,27-02-2025,02-03-2025
256,Q0257,christophernixon@example.net,Payment Failure,Bank transaction shows pending.,Closed,29-03-2025,31-03-2025
257,Q0258,luke50@example.com,Technical Support,White screen on startup.,Closed,29-03-2025,03-04-2025
